lang,word,avg_entropy,count
latin,To,4.045547106811556,590
zh,为了,3.8844035761963744,284
zh,首先,3.0012564858145736,54
zh,描述,2.5727676295281685,97
zh,找到,2.261902629898081,148
zh,考虑,2.2614503273432907,76
zh,理解,2.1854016402435,255
latin,After,2.089167679500098,99
latin,talks,2.0409636741043418,93
latin,individually,1.8706611341103576,133
zh,这句,1.7864816571370914,416
zh,1,1.7852869170674304,278
zh,话,1.7840470299124718,416
latin,construct,1.7706341693798702,96
zh,合适,1.757925100245718,118
latin,The,1.704157681371893,565
zh,句子,1.6796734750815454,174
zh,每个,1.6187017148330545,227
zh,对应,1.605307556035226,57
latin,while,1.602997261363967,81
zh,将,1.4135910621689325,434
latin,is,1.4080217631920209,599
zh,这个,1.3996043947913943,68
latin,corresponding,1.3937909530870842,66
zh,对,1.3471268743231943,73
zh,单词,1.3284243605186477,193
latin,words,1.3166812302363424,131
zh,我,1.3017805401836673,310
zh,它们,1.2914967335995386,178
latin,equivalents,1.2873789840317391,154
zh,这,1.286858094856143,101
sign,:,1.2720951604973616,629
latin,In,1.2233923838585794,130
latin,identify,1.218285479663331,162
latin,combine,1.2161921968621163,358
zh,因此,1.2006256675252438,55
latin,break,1.1987928177018563,502
zh,我们,1.188163338695725,87
zh,意思,1.1864830993508368,334
latin,main,1.1724643223889788,351
sign,：,1.1711181978650032,62
zh,需要,1.1695137047998545,314
zh,结构,1.166186762365396,80
latin,then,1.1125827677935118,629
latin,first,1.0933568142104495,624
latin,translations,1.089162409649927,476
latin,key,1.078303623081043,151
zh,含义,1.0645624132580067,83
latin,context,1.0595433745894314,59
zh,并,1.0538218686776566,282
zh,有,1.0483730352022684,125
zh,可以,1.0425417189160733,251
zh,许多,1.017554485067152,65
latin,proper,1.0170246044603677,52
zh,没有,1.0085849796514137,99
zh,这些,0.9962737417707844,118
latin,phrases,0.9912659638154676,142
zh,如果,0.9811914283782244,50
zh,在,0.9681242813609696,812
zh,使用,0.9658763996488762,67
zh,也,0.9651634869661868,105
latin,complete,0.954373056951322,114
zh,都,0.9458117602574324,96
zh,表达方式,0.9384394905947404,116
zh,会,0.9325982186693138,84
latin,original,0.928202704348268,81
zh,一个,0.92690929031757,233
zh,被,0.9220745289285728,230
zh,一种,0.913812192007423,66
latin,structure,0.9107797591948896,62
zh,不,0.9044331890677896,78
latin,find,0.9043484867332938,501
latin,smaller,0.9027280943495604,170
zh,它,0.902555184214656,84
zh,一些,0.9000931175040274,58
zh,更,0.8917037731871106,77
zh,通过,0.8900245377455441,54
zh,通常,0.8819005054091545,58
zh,而,0.8806582217195841,92
zh,可能,0.8778127180177964,108
latin,phrase,0.8765114303527904,60
zh,以,0.8622782006235111,82
zh,但,0.8611885121747576,81
latin,step,0.8574915395355285,56
zh,了,0.8521191977592044,475
latin,appropriate,0.8462248200275859,427
zh,与,0.8434193340884425,96
zh,的,0.84110884118064,2831
zh,是,0.839359551145317,757
zh,提供,0.8308938210897255,52
zh,您,0.8284429599620164,94
latin,translate,0.8251258429080988,886
zh,包括,0.8201205769665254,53
latin,its,0.8183495936225791,362
latin,component,0.8084099609459425,341
zh,由,0.8063679820507675,57
latin,I,0.7823709501520825,1199
zh,他们,0.7749997280393641,108
zh,然后,0.7748014204365273,65
latin,this,0.7417664083605562,166
